UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2023/11/26T00:01:47z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,70,23,31,1019.24,0.05,36480,0,459,3.58,4.33,4.70,3.58,4.33,4.70,18,18,761.89,215.25,23.60,1.04,0.63,0.21,3.90,4.76,5.25,3.90,4.76,5.25,20,20,760.78,222.14,27.97,0.97,0.34,0.34,25.84
2023/11/26T00:03:46z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,70,23,31,1019.22,0.05,36480,0,579,3.91,5.02,5.53,3.91,5.02,5.53,21,21,832.76,233.45,26.76,1.47,1.00,0.00,3.86,5.33,6.02,3.86,5.33,6.02,22,22,805.58,236.11,28.05,2.89,0.75,0.12,27.06
2023/11/26T00:05:46z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,69,23,30,1018.61,0.05,36480,0,699,4.22,5.43,6.25,4.22,5.43,6.25,23,23,860.80,246.35,31.98,2.00,1.25,0.23,4.33,5.60,6.42,4.33,5.60,6.42,23,23,859.75,251.16,30.93,2.91,1.02,0.71,27.20
2023/11/26T00:07:46z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,70,23,31,1019.16,0.05,36480,0,819,4.26,5.74,5.91,4.26,5.74,5.91,24,24,902.48,256.83,28.88,0.78,0.33,0.16,3.93,5.00,5.63,3.93,5.00,5.63,21,21,821.08,231.32,30.15,2.00,1.03,0.24,27.01
2023/11/26T00:09:46z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,70,23,31,1019.16,0.05,36480,0,939,4.20,5.16,5.43,4.20,5.16,5.43,22,22,849.48,245.96,27.62,1.04,0.41,0.02,3.86,5.19,5.31,3.86,5.19,5.31,22,22,807.97,231.59,33.10,1.27,0.25,0.03,26.43
2023/11/26T00:11:46z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,70,23,31,1019.16,0.05,36480,0,1059,4.29,5.66,6.57,4.29,5.66,6.57,24,24,880.60,255.31,32.74,3.07,1.28,0.57,4.09,5.16,5.36,4.09,5.16,5.36,21,21,827.79,238.72,25.71,1.53,0.41,0.17,26.59
2023/11/26T00:13:46z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,70,23,31,1019.19,0.05,36480,0,1179,4.22,5.25,5.54,4.22,5.25,5.54,22,22,835.17,241.34,28.59,1.58,0.56,0.27,3.80,4.75,5.23,3.80,4.75,5.23,20,20,777.21,233.57,25.39,1.09,0.39,0.00,26.46
2023/11/26T00:15:27z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,70,23,31,1019.19,nan,35944,0,100,4.15,5.33,6.13,4.15,5.33,6.13,22,22,848.87,246.72,30.98,3.07,1.43,0.26,4.50,5.36,5.36,4.50,5.36,5.36,22,22,856.91,246.23,23.93,0.70,0.00,0.00,nan
2023/11/26T00:17:27z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,70,23,31,1019.13,0.05,36480,0,220,3.95,5.22,5.36,3.95,5.22,5.36,22,22,864.81,252.61,22.98,2.10,0.42,0.00,3.36,4.40,5.29,3.36,4.40,5.29,18,18,797.02,227.45,20.67,2.00,1.11,0.45,25.00
2023/11/26T00:19:27z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,70,23,31,1019.15,0.05,36480,0,340,4.08,5.12,5.53,4.08,5.12,5.53,21,21,836.49,235.49,25.80,1.36,0.49,0.25,3.53,4.56,4.95,3.53,4.56,4.95,19,19,750.41,215.42,28.03,0.93,0.44,0.44,25.14
2023/11/26T00:21:27z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,70,23,31,1019.18,0.05,36480,0,460,4.38,5.89,6.39,4.38,5.89,6.39,25,25,873.05,254.70,30.62,2.73,0.82,0.34,4.10,4.98,5.36,4.10,4.98,5.36,21,21,804.41,237.56,25.41,1.14,0.64,0.00,26.30
2023/11/26T00:23:27z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,70,23,31,1019.18,0.05,36480,0,580,4.27,5.03,5.81,4.27,5.03,5.81,21,21,838.32,244.41,34.47,1.59,1.10,0.25,4.09,5.16,5.40,4.09,5.16,5.40,21,21,788.17,229.55,30.03,1.52,0.41,0.21,25.92
2023/11/26T00:25:27z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,70,23,31,1019.21,0.05,36480,0,700,3.25,4.37,4.85,3.25,4.37,4.85,18,18,831.15,232.07,26.90,1.90,0.61,0.22,3.76,5.07,5.62,3.76,5.07,5.62,21,21,817.09,229.85,26.84,1.87,0.78,0.53,27.16
2023/11/26T00:27:27z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,70,23,31,1019.26,0.05,36480,0,819,3.65,4.88,5.14,3.65,4.88,5.14,20,20,873.53,253.42,30.23,1.00,0.32,0.26,3.59,4.31,4.74,3.59,4.31,4.74,18,18,777.72,214.48,22.14,1.33,0.60,0.12,27.24
2023/11/26T00:29:27z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,70,23,31,1019.25,0.05,35856,0,939,3.38,4.14,4.18,3.38,4.14,4.18,17,17,851.95,242.04,21.52,1.07,0.18,0.00,3.55,4.58,4.67,3.55,4.58,4.67,19,19,779.30,218.53,23.35,1.20,0.37,0.13,27.54
2023/11/26T00:31:27z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,68,23,29,1017.68,0.05,36480,0,1059,3.67,4.76,4.84,3.67,4.76,4.84,20,20,840.05,244.95,28.05,1.03,0.09,0.09,3.51,4.80,5.05,3.51,4.80,5.05,20,20,774.71,222.34,25.92,1.49,0.51,0.29,28.10
2023/11/26T00:33:27z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,70,23,31,1019.19,0.05,36480,0,1179,4.68,6.03,6.34,4.68,6.03,6.34,25,25,916.37,261.66,34.19,2.17,0.54,0.17,3.30,4.44,4.96,3.30,4.44,4.96,18,18,715.26,205.61,24.25,1.72,0.65,0.39,28.06
2023/11/26T00:35:07z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,70,23,31,1019.23,nan,36568,0,100,4.59,6.65,6.91,4.59,6.65,6.91,28,28,897.91,256.26,36.98,3.39,0.65,0.00,3.93,4.88,5.05,3.93,4.88,5.05,20,20,810.14,232.09,24.70,0.70,0.16,0.16,nan
2023/11/26T00:37:07z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,70,23,31,1019.20,0.05,36480,0,219,4.32,5.05,5.34,4.32,5.05,5.34,21,21,790.12,235.34,25.73,1.53,0.39,0.19,3.89,4.88,5.25,3.89,4.88,5.25,20,20,817.26,233.89,22.61,1.35,0.37,0.37,25.00
2023/11/26T00:39:07z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,70,23,31,1019.21,0.05,36480,0,339,4.18,5.39,5.44,4.18,5.39,5.44,22,22,887.21,259.81,27.02,1.00,0.19,0.00,3.80,4.78,4.97,3.80,4.78,4.97,20,20,793.32,225.66,25.71,1.51,0.37,0.00,25.04
2023/11/26T00:41:07z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,70,23,31,1019.19,0.05,36480,0,459,4.48,5.46,5.59,4.48,5.46,5.59,23,23,847.82,249.21,31.82,0.73,0.21,0.00,3.68,5.07,6.10,3.68,5.07,6.10,21,21,813.46,232.10,33.07,2.29,0.86,0.68,26.26
2023/11/26T00:43:07z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,70,23,31,1019.21,0.05,36480,0,579,4.00,4.98,5.02,4.00,4.98,5.02,21,21,847.91,236.91,27.36,0.62,0.00,0.00,3.76,4.93,5.36,3.76,4.93,5.36,21,21,782.17,224.66,28.90,1.88,0.67,0.24,27.05
2023/11/26T00:45:07z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,70,23,31,1019.15,0.05,36480,0,699,4.10,5.41,5.86,4.10,5.41,5.86,23,23,879.46,254.98,31.46,2.00,0.64,0.00,3.71,4.98,5.41,3.71,4.98,5.41,21,21,797.25,229.71,27.25,1.64,0.46,0.11,27.18
2023/11/26T00:47:07z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,70,23,31,1019.19,0.05,36480,0,819,4.36,5.37,5.46,4.36,5.37,5.46,22,22,865.68,247.29,27.00,0.98,0.17,0.17,3.51,4.32,4.63,3.51,4.32,4.63,18,18,728.54,211.97,24.51,0.93,0.56,0.00,26.32
2023/11/26T00:49:07z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,70,23,31,1019.22,0.05,36480,0,939,4.11,5.52,5.91,4.11,5.52,5.91,23,23,847.82,246.32,31.48,1.80,0.54,0.02,3.47,4.36,4.80,3.47,4.36,4.80,18,18,786.10,220.54,23.22,1.14,0.66,0.49,26.77
2023/11/26T00:51:07z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,70,23,31,1019.26,0.05,36480,0,1059,4.20,5.49,5.93,4.20,5.49,5.93,23,23,808.83,239.03,29.97,1.76,0.81,0.37,3.66,4.68,5.15,3.66,4.68,5.15,19,19,803.69,222.20,23.76,1.75,0.73,0.53,26.66
2023/11/26T00:53:07z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,70,23,31,1019.23,0.05,36168,0,1179,3.91,5.14,5.86,3.91,5.14,5.86,21,21,821.95,244.00,29.93,2.29,1.17,0.38,4.04,5.21,6.07,4.04,5.21,6.07,22,22,809.68,232.11,28.46,2.11,1.11,0.88,26.98
2023/11/26T00:54:46z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,70,23,31,1019.22,nan,36568,0,99,4.20,5.18,5.49,4.20,5.18,5.49,22,22,845.60,242.36,24.38,1.13,0.53,0.02,3.98,4.91,5.19,3.98,4.91,5.19,20,20,816.84,237.58,25.26,1.07,0.23,0.00,nan
