UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2023/10/30T00:01:56z,44:17:93:1:9a:1c,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,60,37,33,1020.26,0.02,36480,0,580,5.10,7.54,7.88,5.10,7.54,7.88,31,31,1003.07,292.08,39.90,2.85,0.58,0.00,5.09,7.18,7.77,5.09,7.18,7.77,30,30,1001.89,288.54,45.46,3.11,0.67,0.26,25.29
2023/10/30T00:03:56z,44:17:93:1:9a:1c,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,59,37,32,1020.22,0.02,36480,0,699,5.02,7.26,7.91,5.02,7.26,7.91,30,30,996.52,282.90,36.47,3.22,1.29,0.00,4.61,6.02,6.52,4.61,6.02,6.52,25,25,979.82,277.84,39.36,1.45,0.84,0.00,26.12
2023/10/30T00:05:56z,44:17:93:1:9a:1c,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,59,37,33,1020.27,0.02,36480,0,819,5.26,7.37,8.23,5.26,7.37,8.23,31,31,1018.63,295.75,32.82,2.23,0.81,0.19,4.57,6.16,6.40,4.57,6.16,6.40,26,26,988.09,279.12,32.40,1.45,0.48,0.00,27.25
2023/10/30T00:07:56z,44:17:93:1:9a:1c,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,59,38,33,1020.27,0.02,36480,0,939,4.72,7.14,7.59,4.72,7.14,7.59,30,30,979.14,278.59,35.07,2.84,0.69,0.31,4.47,5.95,5.95,4.47,5.95,5.95,25,25,973.58,274.85,32.71,1.39,0.00,0.00,25.61
2023/10/30T00:09:56z,44:17:93:1:9a:1c,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,59,38,34,1020.34,0.02,36296,0,1059,4.76,6.79,7.00,4.76,6.79,7.00,28,28,972.57,276.67,32.88,1.97,0.21,0.00,4.71,6.27,6.47,4.71,6.27,6.47,26,26,997.78,280.93,36.08,1.59,0.36,0.00,25.16
2023/10/30T00:11:56z,44:17:93:1:9a:1c,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,59,39,34,1020.34,0.02,36480,0,1179,4.76,7.34,8.49,4.76,7.34,8.49,31,31,976.22,284.61,35.25,4.02,1.47,0.20,4.39,5.43,5.64,4.39,5.43,5.64,23,23,916.66,264.52,29.52,2.00,0.11,0.00,25.98
2023/10/30T00:13:35z,44:17:93:1:9a:1c,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,59,39,34,1020.28,nan,36568,0,99,5.00,7.84,9.22,5.00,7.84,9.22,33,33,1025.33,288.40,41.89,5.02,1.84,0.78,4.60,6.26,6.52,4.60,6.26,6.52,26,26,932.50,274.90,37.26,2.74,0.17,0.00,nan
2023/10/30T00:15:35z,44:17:93:1:9a:1c,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,58,39,33,1019.98,0.02,36480,0,219,5.19,8.24,9.59,5.19,8.24,9.59,34,34,1023.46,299.85,50.00,4.29,1.78,0.00,5.30,7.28,7.75,5.30,7.28,7.75,30,30,1095.68,309.84,39.51,2.54,0.79,0.35,25.00
2023/10/30T00:17:35z,44:17:93:1:9a:1c,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,58,39,33,1020.21,0.02,36480,0,339,4.74,7.21,7.81,4.74,7.21,7.81,30,30,940.66,277.47,34.62,2.09,0.86,0.36,4.51,6.31,7.08,4.51,6.31,7.08,26,26,963.61,275.61,35.66,4.03,0.95,0.27,25.01
2023/10/30T00:19:35z,44:17:93:1:9a:1c,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,58,39,33,1020.13,0.02,36480,0,459,4.23,6.61,7.32,4.23,6.61,7.32,28,28,897.00,261.07,34.12,2.00,0.42,0.25,4.39,6.12,6.34,4.39,6.12,6.34,25,25,991.63,283.80,33.44,2.76,0.24,0.00,25.17
